tipo_factura,id_criterio,criterio,codigo_producto,precio,codigo_corte,corte,categoria
Desposte,124,SERVICIO MOLIDA - EMPAQUE,000003,1083.00,884,CARNE MOLIDA PREMIUM,Producto
Desposte,124,SERVICIO MOLIDA - EMPAQUE,000003,1083.00,375,MOLIDA ECONÓMICA,Producto
Desposte,124,SERVICIO MOLIDA - EMPAQUE,000003,1083.00,884,MOLIDA PREMIUM,Producto
Venta Carne,177,ADOQUINES DE CADERA,000083,0.00,242,ADOQUINES DE CADERA,Producto
Venta Carne,104,ALETA,000001,23597.00,5,ALETA,Producto
Venta Carne,104,ALETA,000001,23597.00,5,ALETA,Producto
Venta Carne,104,ALETA,000001,23597.00,5,ALETA,Producto
Venta Carne,116,ASADO DE TIRA,000002,0.00,10,ASADO DE TIRA,Producto
Venta Carne,116,ASADO DE TIRA,000002,0.00,10,ASADO DE TIRA,Producto
Venta Carne,116,ASADO DE TIRA,000002,0.00,10,ASADO DE TIRA,Producto
Venta Carne,116,ASADO DE TIRA,000002,0.00,991,ASAR ESPECIAL INSTITUCIONAL,Producto
Venta Carne,346,BANDIOLA DE CERDO,000002,0.00,1394,BONDIOLA DE CERDO,Producto
Venta Carne,114,BIFE DE PALETA,000046,0.00,405,BIFE DE CHORIZO,Producto
Venta Carne,114,BIFE DE PALETA,000046,0.00,405,BIFE DE CHORIZO,Producto
Venta Carne,114,BIFE DE PALETA,000046,0.00,435,BIFE DE PALETA,Producto
Venta Carne,114,BIFE DE PALETA,000046,0.00,385,BIFE DE PALETA,Producto
Venta Carne,50,BOLA,000004,0.00,854,(17479) CARNE RES BOLA PIERNA/CARABELA 500G,Producto
Venta Carne,50,BOLA,000004,0.00,964,INDUSTRIAL BOCA DE PECHO,Producto
Venta Carne,42,BOLA DE BRAZO,000003,22305.00,15,BOLA DE BRAZO,Producto
Venta Carne,42,BOLA DE BRAZO,000003,22305.00,15,BOLA DE BRAZO,Producto
Venta Carne,42,BOLA DE BRAZO,000003,22305.00,15,BOLA DE BRAZO,Producto
Venta Carne,105,BOLA DE PIERNA,000004,23571.00,20,BOLA DE PIERNA,Producto
Venta Carne,105,BOLA DE PIERNA,000004,23571.00,20,BOLA DE PIERNA,Producto
Venta Carne,105,BOLA DE PIERNA,000004,23571.00,20,BOLA DE PIERNA,Producto
Venta Carne,349,BRAZO DESHUESADO CERDO,000003,17000.00,1386,BRAZO DE CERDO,Producto
Venta Carne,180,BRAZO ENTERO,000089,19300.00,25,BRAZO ENTERO,Producto
